ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
11061,M,M,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes
11090,S,M,90000,2,Partial College,Professional,Yes,1,2-5 Miles,North America,48,Yes
11116,M,M,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,43,No
11139,S,F,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,67,No
11149,M,M,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,No
11259,M,F,100000,4,Partial College,Professional,Yes,4,2-5 Miles,North America,41,Yes
11270,M,M,130000,2,Graduate Degree,Management,Yes,3,0-1 Miles,North America,42,Yes
11275,M,F,80000,4,Graduate Degree,Management,Yes,2,0-1 Miles,North America,72,Yes
11303,S,F,90000,4,High School,Professional,No,3,1-2 Miles,North America,45,Yes
11383,M,F,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,No
11386,M,F,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,45,No
11415,S,M,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,No
11434,M,M,170000,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,No
11538,S,F,60000,4,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Yes
11540,S,M,60000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Yes
11555,M,F,40000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,80,No
11576,M,M,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,41,Yes
11585,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No
11641,M,M,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,36,No
11663,M,M,70000,4,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Yes
11738,M,M,60000,4,Bachelors,Professional,Yes,0,2-5 Miles,North America,46,No
11745,M,F,60000,1,Bachelors,Professional,Yes,1,0-1 Miles,North America,47,Yes
11817,S,F,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Yes
11886,M,F,60000,3,Bachelors,Professional,Yes,1,0-1 Miles,North America,48,Yes
11897,S,M,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,37,Yes
11935,S,F,30000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,28,No
12033,S,F,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Yes
12153,S,F,70000,3,Partial College,Professional,Yes,1,5-10 Miles,North America,49,Yes
12207,S,M,80000,4,Bachelors,Management,Yes,0,5-10 Miles,North America,66,Yes
12207,S,M,80000,4,Bachelors,Management,Yes,0,5-10 Miles,North America,66,Yes
12234,M,M,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No
12236,M,F,20000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,65,No
12273,M,M,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
12274,S,M,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
12344,S,F,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No
12389,S,M,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,No
12452,M,M,60000,4,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,47,Yes
12472,M,M,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No
12496,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
12497,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No
12503,S,F,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No
12507,M,M,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
12558,M,F,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No
12568,M,F,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,64,No
12590,S,M,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,No
12591,M,F,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
12610,M,F,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
12629,S,M,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,No
12663,M,F,90000,5,Partial High School,Skilled Manual,Yes,2,10+ Miles,Europe,59,No
12664,M,F,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No
12666,S,M,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No
12678,S,F,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No
12697,S,F,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No
12716,S,M,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No
12718,S,F,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,31,No
12728,S,M,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No
12731,S,M,30000,0,High School,Manual,No,1,1-2 Miles,Europe,32,No
12744,S,F,40000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,33,No
12768,M,M,30000,1,High School,Clerical,Yes,1,2-5 Miles,North America,52,Yes
12774,M,F,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,51,Yes
12821,M,M,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,No
12871,S,F,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No
12882,M,M,50000,1,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,33,Yes
12922,S,F,60000,3,Bachelors,Skilled Manual,Yes,0,2-5 Miles,North America,40,Yes
12993,M,M,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No
13066,S,M,30000,0,High School,Skilled Manual,No,2,1-2 Miles,North America,31,Yes
13089,M,F,120000,1,Bachelors,Management,Yes,2,0-1 Miles,Pacific,46,Yes
13136,M,F,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,69,No
13154,M,M,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Yes
13176,S,M,130000,0,Graduate Degree,Management,No,2,0-1 Miles,North America,38,Yes
13233,M,M,60000,2,Partial College,Professional,Yes,1,10+ Miles,North America,57,Yes
13283,M,M,80000,3,Partial College,Professional,No,2,0-1 Miles,North America,49,Yes
13287,S,M,110000,4,Bachelors,Management,Yes,4,5-10 Miles,North America,42,Yes
13314,M,M,120000,1,High School,Professional,Yes,4,5-10 Miles,North America,46,Yes
13343,M,F,90000,5,Bachelors,Management,Yes,2,1-2 Miles,North America,63,Yes
13351,S,F,70000,4,Bachelors,Management,Yes,2,1-2 Miles,North America,62,Yes
13353,S,F,60000,4,Graduate Degree,Management,Yes,2,10+ Miles,North America,61,Yes
13353,S,F,60000,4,Graduate Degree,Management,Yes,2,10+ Miles,North America,61,Yes
13382,M,M,70000,5,Partial College,Professional,Yes,2,1-2 Miles,North America,57,Yes
13415,S,M,100000,1,Graduate Degree,Management,Yes,3,2-5 Miles,North America,73,Yes
13453,M,F,130000,3,Bachelors,Management,Yes,3,0-1 Miles,North America,45,Yes
13507,M,F,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No
13585,M,F,80000,4,Partial College,Professional,No,1,2-5 Miles,Europe,53,Yes
13586,M,M,80000,4,Partial College,Professional,Yes,2,10+ Miles,Europe,53,No
13662,S,M,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,31,Yes
13673,S,F,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,No
13683,S,F,30000,0,High School,Manual,No,1,2-5 Miles,Europe,32,No
13714,M,F,20000,2,High School,Manual,No,2,1-2 Miles,North America,53,Yes
13813,M,F,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,No
13826,S,F,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No
13873,M,M,70000,3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,Yes
13886,M,F,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Yes
13907,S,F,80000,3,Bachelors,Skilled Manual,Yes,1,0-1 Miles,North America,41,Yes
13911,S,F,80000,3,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,41,Yes
13961,M,F,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No
13981,M,F,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,No
14032,M,M,70000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes
14063,S,F,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,42,Yes
14092,S,M,30000,0,Partial High School,Clerical,Yes,2,5-10 Miles,North America,28,No
14135,M,M,20000,1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,No
14177,M,M,80000,5,Partial College,Professional,No,2,2-5 Miles,Europe,60,No
14193,S,F,100000,3,Partial College,Management,Yes,4,10+ Miles,Europe,56,No
14233,S,M,100000,0,High School,Management,Yes,3,10+ Miles,Pacific,35,No
14278,M,F,130000,0,Graduate Degree,Management,Yes,1,10+ Miles,Pacific,48,No
14284,S,M,60000,0,Partial College,Professional,No,2,1-2 Miles,North America,32,Yes
14312,M,F,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No
14417,S,M,60000,3,High School,Professional,Yes,2,10+ Miles,North America,54,Yes
14495,M,M,40000,3,Partial College,Professional,No,2,5-10 Miles,North America,54,Yes
14517,M,F,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No
14544,S,M,10000,1,Partial College,Manual,Yes,0,0-1 Miles,Europe,49,No
14545,M,F,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No
14547,M,M,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,No
14554,M,M,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,No
14572,M,F,70000,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,Yes
14602,M,F,80000,3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Yes
14657,M,M,80000,1,Partial College,Skilled Manual,No,1,0-1 Miles,North America,47,Yes
14662,M,M,60000,1,Bachelors,Professional,Yes,1,0-1 Miles,North America,48,Yes
14669,M,F,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,No
14682,S,F,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No
14696,S,M,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,No
14754,M,M,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Yes
14785,S,M,30000,1,Bachelors,Clerical,No,1,1-2 Miles,Europe,39,No
14791,M,F,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Yes
14804,S,F,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
14805,S,F,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
14865,S,M,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,36,No
14883,M,F,30000,1,Bachelors,Skilled Manual,Yes,1,5-10 Miles,North America,53,Yes
14900,M,F,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,Yes
14913,M,F,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,48,Yes
14914,M,F,40000,1,Partial College,Clerical,Yes,1,1-2 Miles,North America,49,Yes
15019,S,F,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
15194,S,M,120000,2,Bachelors,Management,No,3,0-1 Miles,North America,39,Yes
15255,M,M,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,28,Yes
15275,M,M,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,29,No
15275,M,M,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,29,No
15287,S,F,50000,1,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,Yes
15302,S,F,70000,1,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,Yes
15372,M,M,80000,3,Partial College,Professional,No,2,2-5 Miles,North America,50,Yes
15382,M,F,110000,1,Bachelors,Management,Yes,2,1-2 Miles,North America,44,No
15450,M,M,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,No
15465,M,F,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,No
15501,M,M,70000,4,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,Yes
15529,M,M,60000,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Yes
15532,S,M,60000,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Yes
15555,M,F,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,45,Yes
15559,M,M,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,No
15559,M,M,60000,5,Bachelors,Professional,Yes,1,2-5 Miles,North America,47,No
15608,S,F,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,No
15612,S,M,30000,0,High School,Manual,No,1,1-2 Miles,Europe,28,No
15628,M,F,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,89,No
15629,S,F,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,34,No
15665,M,F,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Yes
15682,S,F,80000,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No
15740,M,M,80000,5,Bachelors,Management,Yes,2,1-2 Miles,North America,64,No
15758,M,M,130000,0,Graduate Degree,Management,Yes,0,5-10 Miles,Pacific,48,No
15822,M,M,40000,2,Bachelors,Management,Yes,2,0-1 Miles,Pacific,67,No
15862,S,F,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,North America,33,Yes
15922,M,M,150000,2,High School,Professional,Yes,4,0-1 Miles,Europe,48,No
15940,M,M,100000,4,Partial College,Professional,Yes,4,0-1 Miles,North America,40,No
15940,M,M,100000,4,Partial College,Professional,Yes,4,0-1 Miles,North America,40,No
16007,M,F,90000,5,Bachelors,Management,Yes,2,1-2 Miles,North America,66,Yes
16020,M,M,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,28,Yes
16043,S,M,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No
16112,S,M,70000,4,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,Yes
16122,M,M,40000,4,High School,Skilled Manual,Yes,2,0-1 Miles,North America,44,Yes
16144,M,M,70000,1,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,46,Yes
16145,S,F,70000,5,Graduate Degree,Professional,Yes,3,10+ Miles,North America,46,Yes
16151,M,F,60000,1,Bachelors,Professional,Yes,1,2-5 Miles,North America,48,Yes
16154,M,F,70000,5,Bachelors,Professional,Yes,2,2-5 Miles,North America,47,No
16154,M,F,70000,5,Bachelors,Professional,Yes,2,2-5 Miles,North America,47,No
16179,S,F,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,38,No
16185,S,M,60000,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No
16188,S,F,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,No
16200,S,F,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,No
16209,S,F,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,No
16337,M,M,60000,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29,No
16337,M,M,60000,0,Partial College,Skilled Manual,No,2,1-2 Miles,North America,29,No
16438,M,F,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No
16468,S,M,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,30,No
16487,S,F,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
16489,M,M,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
16549,S,F,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Yes
16559,S,F,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Yes
16614,M,F,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No
16751,M,M,60000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,North America,32,Yes
16753,S,F,70000,0,Partial College,Skilled Manual,Yes,2,5-10 Miles,North America,34,Yes
16791,S,M,60000,5,Bachelors,Management,Yes,3,10+ Miles,North America,59,Yes
16867,S,F,130000,1,Bachelors,Management,No,3,0-1 Miles,North America,45,Yes
16871,M,F,90000,2,High School,Professional,Yes,1,10+ Miles,North America,51,Yes
16890,M,M,60000,3,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52,Yes
16895,M,F,40000,3,Partial College,Professional,No,2,1-2 Miles,North America,54,Yes
17000,S,F,70000,4,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,43,Yes
17012,M,F,60000,3,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,42,Yes
17025,S,M,50000,0,Partial College,Skilled Manual,No,1,2-5 Miles,North America,39,Yes
17048,S,F,90000,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,36,Yes
17197,S,F,90000,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No
17230,M,M,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,30,No
17238,S,M,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No
17269,S,M,60000,3,Bachelors,Professional,No,0,0-1 Miles,North America,47,Yes
17269,S,M,60000,3,Bachelors,Professional,No,0,0-1 Miles,North America,47,Yes
17319,S,F,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No
17324,M,F,100000,4,Bachelors,Professional,Yes,1,10+ Miles,Pacific,46,No
17458,S,M,70000,3,High School,Professional,Yes,0,5-10 Miles,North America,52,Yes
17471,S,F,80000,4,Graduate Degree,Management,Yes,2,5-10 Miles,North America,67,No
17522,M,M,120000,4,Bachelors,Management,Yes,1,2-5 Miles,Pacific,47,No
17533,M,M,40000,3,Partial College,Professional,No,2,5-10 Miles,North America,73,Yes
17546,M,F,70000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,44,Yes
17650,S,F,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,No
17654,S,F,40000,3,Partial College,Clerical,Yes,1,1-2 Miles,North America,30,Yes
17668,S,M,30000,2,High School,Skilled Manual,Yes,2,1-2 Miles,North America,50,Yes
17702,M,M,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,No
17703,M,F,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No
17754,S,F,30000,3,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,46,Yes
17843,S,F,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No
17845,S,F,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,No
17858,M,M,40000,4,High School,Skilled Manual,Yes,2,2-5 Miles,North America,44,Yes
17864,M,F,60000,1,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,46,Yes
17882,M,M,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,No
17907,M,F,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,No
17960,M,F,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,35,Yes
17994,S,M,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No
18012,M,F,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,41,No
18018,S,M,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,No
18050,M,F,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45,Yes
18052,M,F,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45,Yes
18052,M,F,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45,Yes
18066,S,M,70000,5,Bachelors,Management,Yes,3,10+ Miles,North America,60,Yes
18144,M,F,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,No
18151,S,M,80000,5,Partial College,Professional,No,2,10+ Miles,Europe,59,No
18153,M,F,100000,2,Bachelors,Management,Yes,4,10+ Miles,Europe,59,No
18172,M,M,130000,4,High School,Professional,Yes,3,0-1 Miles,Europe,55,No
18253,M,F,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No
18267,M,M,60000,3,Bachelors,Professional,Yes,2,5-10 Miles,Pacific,43,No
18283,S,F,100000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,No
18294,M,F,90000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,46,No
18299,M,M,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,No
18363,M,M,40000,0,High School,Skilled Manual,Yes,2,5-10 Miles,North America,28,Yes
18435,S,F,70000,5,Graduate Degree,Management,Yes,2,10+ Miles,North America,67,Yes
18545,M,M,40000,4,High School,Professional,No,2,10+ Miles,North America,61,Yes
18560,M,F,70000,2,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,34,Yes
18580,M,F,60000,2,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,40,Yes
18607,S,F,60000,4,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,42,Yes
18613,S,M,70000,0,Bachelors,Professional,No,1,2-5 Miles,North America,37,Yes
18613,S,M,70000,0,Bachelors,Professional,No,1,2-5 Miles,North America,37,Yes
18649,S,M,30000,1,High School,Clerical,Yes,2,1-2 Miles,North America,51,Yes
18711,S,F,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No
18783,S,M,80000,0,Bachelors,Management,No,1,0-1 Miles,North America,38,Yes
18858,S,M,60000,2,Partial High School,Skilled Manual,Yes,2,5-10 Miles,North America,52,Yes
18949,S,M,70000,0,Graduate Degree,Management,Yes,2,5-10 Miles,North America,74,Yes
18976,S,M,40000,4,High School,Professional,Yes,2,10+ Miles,North America,62,Yes
19002,M,F,60000,2,Partial College,Professional,Yes,1,2-5 Miles,North America,57,Yes
19066,M,M,130000,4,Partial College,Professional,No,3,10+ Miles,Europe,54,No
19133,S,M,50000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38,Yes
19143,S,F,80000,3,Bachelors,Skilled Manual,Yes,2,2-5 Miles,North America,41,Yes
19163,M,F,70000,4,Bachelors,Professional,Yes,2,0-1 Miles,North America,43,Yes
19164,S,F,70000,0,Bachelors,Professional,No,1,2-5 Miles,North America,38,Yes
19183,S,M,10000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,35,No
19235,M,F,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,North America,34,No
